Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Rcc/Pac Operations Fund,Performing Arts Center,Administrative,Misc Fees & Chgs-Rccc/Pac,2000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Advertising Income,460000,-268000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Box Office Services,15000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Catering/Concession Fees,450000,50000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Communications Services,10000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Credit Card Fee Income,100000,-30000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Equipment Rent,200000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Event Personnel Income,725000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Events Commission,320000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Facility Rent,475000,-25000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Group Comm Income,10000,-15000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Insurance Income,4000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Interlocal Agreement Support-C,1000000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Misc Fees & Chgs-Rccc/Pac,12000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Orchestra Income,40000,30000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Pac% Of Income,49722,-50278,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Performance Catering Income,15000,-5000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Performing Arts Ctr Contributi,300000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Production Fee Income,375000,-92650,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Rccc/Pac Program Income,23600,2492,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Staff Services,335000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Ticket Facility Income,320000,-50000,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Performing Arts Center,Ticket Rebate Income,350000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Administrative,Fr 100 General Fd,331491,-43907,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Administrative,Fr 230 Self Insurance,6954,3815,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Administrative,Interest On Investments,1530,0,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Advertising Income,,-96500,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Box Office Services,,-1100,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Catering/Concession Fees,675000,-15000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Credit Card Fee Income,2000,-2000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Equipment Rent,,-500,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Event Personnel Income,10000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Events Commission,50000,200,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Facility Rent,10000,-40000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Misc Fees & Chgs-Rccc/Pac,20000,-1000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Pac% Of Income,20000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Performance Catering Income,,-5500,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Production Fee Income,,-380600,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Rccc Ticket Sales,150000,50000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Sponsorships,292500,0,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Staff Services,15000,3000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Ticket Facility Income,305000,55000,TRUE,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Ticket Rebate Income,25000,15000,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Administrative,Fr 230 Self Insurance,43268,22689,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Administrative,Interest On Investments,9692,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Advertising Income,85000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Catering/Concession Fees,3016200,462040.58,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Communications Services,250000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Credit Card Fee Income,1000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Equipment Rent,635000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Event Personnel Income,65000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Events Commission,100000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Facility Rent,1100000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Fr 715 Conv Ctr Financing Fund,2018750,87925,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Gr Ral Conv & Vis Bureau Suppo,400000,-16700,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Marketing Revenues,35845,21345,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Misc Fees & Chgs-Rccc/Pac,50000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Rent-RCC Wireless Service,25000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center,Staff Services,150000,0,TRUE,0
Rcc/Pac Operations Fund,RCC Facility,Convention Center Promotions,Fr 715 Conv Ctr Financing Fund,1000000,0,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Administrative,Fr 100 General Fd,146327,-37861,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Beverage Revenues,130000,15000,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Event Personnel Income,11000,0,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Events Commission,4500,0,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Rccc Exhibitor Fees,30000,5000,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Sponsorships,110000,0,TRUE,0
Rcc/Pac Operations Fund,RCC/PAC Special Events,Special Events Costs,Staff Services,4500,0,TRUE,0
Revolving Fund,Building & Safety Services,Inspections Training Program,Fees/Sales,1400,1400,TRUE,0
Revolving Fund,Community Svcs,Citizen Involvment,Approp From Prior Year,,-30000,TRUE,0
Revolving Fund,Community Svcs,Citizen Involvment,Donations/Contributions,30000,30000,TRUE,0
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,State Reimb-Fire Rrt-4,300000,0,TRUE,0
Revolving Fund,Fire Training,Fire-Usar Team Expd,City Match,98737.35,-2.65,TRUE,0
Revolving Fund,Fire Training,Fire-Usar Team Expd,Municipal Fire Usar Support,63665.37,-13975.63,TRUE,0
Revolving Fund,Inspections,Inspections Training Program,Fees/Sales,,-1400,TRUE,0
Revolving Fund,Office of Sustainability,Environmental Awards Program,Approp From Prior Year,3500,0,TRUE,0
Revolving Fund,Office of Sustainability,Environmental Awards Program,Sponsorships,6000,0,TRUE,0
Revolving Fund,Planning,Appearance Commission,Approp From Prior Year,,-6000,TRUE,0
Revolving Fund,Planning,Appearance Commission,Donations/Contributions,3000,1000,TRUE,0
Revolving Fund,Planning,Ral Historic District Loan Fun,Approp From Prior Year,,-3375,TRUE,0
Revolving Fund,Planning,Ral Historic District Loan Fun,Raleigh Historic District Loan,200000,179765,TRUE,0
Revolving Fund,Police Administrative Services,Community Watch Signs,Fees/Sales,4940,0,TRUE,0
Revolving Fund,Police Administrative Services,Police Donations,Police Dept Misc Revenue,24000,0,TRUE,0
Revolving Fund,PRCR - Business Process Mgmt,PR Program Fee Assistance,Approp From Prior Year,20000,4000,TRUE,0
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,Approp From Prior Year,15000,15000,TRUE,0
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,Donations/Contributions,20000,-40000,TRUE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Fletcher Award Program,Approp From Prior Year,740,740,TRUE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,Approp From Prior Year,40000,0,TRUE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,Donations/Contributions,15000,0,TRUE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Approp From Prior Year,15000,0,TRUE,0
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Donations/Contributions,5000,-737,TRUE,0
Revolving Fund,PRCR - Recreation,Adventure Camps,Approp From Prior Year,40000,-20000,TRUE,0
Revolving Fund,PRCR - Recreation,Adventure Camps,Donations/Contributions,24000,-6000,TRUE,0
Revolving Fund,PRCR - Recreation,Adventure Camps,Fees/Sales,200,-115,TRUE,0
Revolving Fund,PRCR - Recreation,Anderson Point,Approp From Prior Year,20000,0,TRUE,0
Revolving Fund,PRCR - Recreation,Anderson Point,Fees/Sales,25000,0,TRUE,0
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Approp From Prior Year,127800,20000,TRUE,0
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Donations/Contributions,800,-100,TRUE,0
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Fees/Sales,368000,-20000,TRUE,0
Revolving Fund,PRCR - Recreation,Athletics,Approp From Prior Year,40000,-27000,TRUE,0
Revolving Fund,PRCR - Recreation,Athletics,Fees/Sales,170000,-20000,TRUE,0
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Approp From Prior Year,225000,15000,TRUE,0
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Donations/Contributions,173000,42000,TRUE,0
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Fees/Sales,5000,2000,TRUE,0
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,P&R Fee Split Revenue,108000,-7000,TRUE,0
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Rental Income,4600,0,TRUE,0
Revolving Fund,PRCR - Recreation,Esl Program,Approp From Prior Year,8400,400,TRUE,0
Revolving Fund,PRCR - Recreation,Esl Program,Donations/Contributions,6400,5900,TRUE,0
Revolving Fund,PRCR - Recreation,Golden Years,Approp From Prior Year,136000,76000,TRUE,0
Revolving Fund,PRCR - Recreation,Golden Years,Donations/Contributions,110000,-20000,TRUE,0
Revolving Fund,PRCR - Recreation,Golden Years,Fees/Sales,90000,0,TRUE,0
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Approp From Prior Year,1789875,120325,TRUE,0
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Donations/Contributions,515275,-172925,TRUE,0
Revolving Fund,PRCR - Recreation,Non-Program Revenues,Fees/Sales,1664301,62601,TRUE,0
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Approp From Prior Year,63000,58000,TRUE,0
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,P&R Fee Split Revenue,255645,-4145,TRUE,0
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Approp From Prior Year,70000,-20000,TRUE,0
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,P&R Fee Split Revenue,217000,22000,TRUE,0
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Approp From Prior Year,45000,0,TRUE,0
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Donations/Contributions,34000,0,TRUE,0
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Approp From Prior Year,19000,-2000,TRUE,0
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Donations/Contributions,4500,-500,TRUE,0
Revolving Fund,PRCR - Recreation,Teen Programs,Approp From Prior Year,310000,60000,TRUE,0
Revolving Fund,PRCR - Recreation,Teen Programs,Donations/Contributions,28000,13000,TRUE,0
Revolving Fund,PRCR - Recreation,Teen Programs,Fees/Sales,104000,-6000,TRUE,0
Revolving Fund,PRCR - Recreation,Tennis,Approp From Prior Year,25000,5000,TRUE,0
Revolving Fund,PRCR - Recreation,Tennis,Donations/Contributions,25000,0,TRUE,0
Revolving Fund,PRCR - Recreation,Tennis,Fees/Sales,385500,17500,TRUE,0
Revolving Fund,PRCR - Recreation,Tucker Mansion,Approp From Prior Year,8000,-2000,TRUE,0
Revolving Fund,PRCR - Recreation,Tucker Mansion,Fees/Sales,20000,-5000,TRUE,0
Revolving Fund,PRCR - Recreation,Vhip,Approp From Prior Year,,-38000,TRUE,0
Revolving Fund,PRCR - Recreation,Vhip,Donations/Contributions,,-19000,TRUE,0
Revolving Fund,PRCR - Recreation,Youth Programs,Approp From Prior Year,160000,-40000,TRUE,0
Revolving Fund,PRCR - Recreation,Youth Programs,Donations/Contributions,13000,-162000,TRUE,0
Revolving Fund,PRCR - Recreation,Youth Programs,Fees/Sales,492000,317000,TRUE,0
Revolving Fund,PRCR - Resources,Arts Commission,Approp From Prior Year,85848,313,TRUE,0
Revolving Fund,PRCR - Resources,Arts Office Revolving,Approp From Prior Year,3015,3015,TRUE,0
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Approp From Prior Year,323000,-12000,TRUE,0
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Cablevision New Equip,88000,-12000,TRUE,0
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Fees/Sales,13000,0,TRUE,0
Sewer Reuse/Infrastructure Fd,Non-Departmental,Non-Program Revenues,Sewer Infrastructure Replace,11220000,2685000,TRUE,0
Stormwater Utility Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,25000,0,TRUE,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Approp From Prior Year,,-400000,TRUE,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Erosion Control Fees,,-450000,TRUE,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Fr 230 Self Insurance,,-17440,TRUE,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Grading Review Fee,,-130000,TRUE,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Soil Erosion Penalty (Wcpss 90,,-20000,TRUE,0
Stormwater Utility Fund,Stormwater Management,Non-Program Revenues,Stormwater Utility Fees,,-16706248,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,Approp From Prior Year,1909491.95,1909491.95,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,BMP StmWtr Penalty (WCPPS 90%),15000,15000,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,Erosion Control Fees,433299,433299,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,Fr 230 Self Insurance,46829,46829,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,Grading Review Fee,100759,100759,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,Soil Erosion Penalty (Wcpss 90,20000,20000,TRUE,0
Stormwater Utility Fund,Stormwater Mgmt-Eng Svcs,Non-Program Revenues,Stormwater Utility Fees,21164792,21164792,TRUE,0
Solid Waste Service Debt Service Fund,Solid Waste Admin,Non-Program Revenues,Approp From Prior Year,320,320,TRUE,0
Solid Waste Service Debt Service Fund,Solid Waste Admin,Non-Program Revenues,Fr 360 SWS for Debt Svc,1482923,-33077,TRUE,0
Solid Waste Service Debt Service Fund,Solid Waste Admin,Non-Program Revenues,Misc Revenues,523763,1763,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Approp From Prior Year,206068,-293932,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Cbd Garbage Bag Sales,,-100,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Curbside Recycle Fees,,-785280,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Drop Off Contract Recycle Rev,,-26100,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Fr 230 Self Insurance,266450,153090,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Landfill Equip Resale,1318825,34171,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Misc Revenues,10000,-40000,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Residential Recycling Fees,5933647,228240,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Residential Solid Waste Fees,18489652,1767385,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Solid Waste Disposal Tax Refun,260000,260000,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Special Loads & Chipper,25000,-10000,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Sws - Additional Container Sal,15000,5000,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Sws Penalties (Wcpss 90%),2500,-12500,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Yardwaste Sales,110000,-40000,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,Non-Program Revenues,Yardwaste Tip Fees,300000,-187500,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Admin,SWS-Administration,Fr 100 General Fd,7616835,-2273673,TRUE,0
Solid Waste Service Operating Fund,Solid Waste Yardwaste Ctr,SWS-WGLF Maint & Repair,Approp From Special Reserve,300000,0,TRUE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Grant Year 2016/2017,Federal Grant - Pass Through,2157190,2157190,TRUE,0
Transit CAMPO Fund,CAMPO-Trans Svcs,Grant Year 2016/2017,Fr 100 For Grants/Match,209721,209721,TRUE,0
